4235	 0	 1403715579.662142992019653320	 0.2528675199	 -0.3854392469	 476.5816955566	82.1852569580
4235	 0	 1403715579.962142944335937500	 0.3524755836	 -0.3150696456	 519.2204589844	112.9245910645
4234	 0	 1403715579.662142992019653320	 0.3322249055	 -0.4711906612	 506.4601440430	51.5032234192
4234	 0	 1403715579.962142944335937500	 0.4360238910	 -0.4119112492	 548.6987304688	77.4697418213
4219	 0	 1403715579.312143087387084961	 0.7849497795	 -0.3575844765	 666.1235961914	112.6785812378
4219	 0	 1403715579.662142992019653320	 0.9116198421	 -0.4435384274	 696.3886108398	88.7880935669
4219	 0	 1403715579.962142944335937500	 1.0258437395	 -0.4056450725	 727.2044067383	106.5584793091
4219	 0	 1403715580.512142896652221680	 0.7584752440	 -0.5116331577	 650.6707763672	57.8130836487
4217	 0	 1403715579.312143087387084961	 0.8389075398	 -0.3558155000	 681.1615600586	115.6876373291
4217	 0	 1403715579.662142992019653320	 0.9655377269	 -0.4471157491	 710.1564331055	90.1418151855
4217	 0	 1403715579.962142944335937500	 1.0832595825	 -0.4097069800	 741.4824218750	107.3622131348
4217	 0	 1403715580.512142896652221680	 0.8151530027	 -0.5303730965	 665.7330932617	54.8099288940
4216	 0	 1403715579.312143087387084961	 0.5929168463	 -0.3628145158	 606.6003417969	102.3704376221
4216	 0	 1403715579.662142992019653320	 0.6963402033	 -0.4313810468	 636.5161743164	82.1001968384
4216	 0	 1403715579.962142944335937500	 0.8118190765	 -0.3907464147	 672.1350097656	102.1196441650
4216	 0	 1403715580.512142896652221680	 0.6136797667	 -0.4815273583	 607.8474731445	60.1780357361
4215	 0	 1403715579.312143087387084961	 0.6106808782	 -0.4106984437	 610.3796997070	85.3755950928
4215	 0	 1403715579.662142992019653320	 0.7163699865	 -0.4925804138	 639.3264770508	61.8944015503
4215	 0	 1403715579.962142944335937500	 0.8318814039	 -0.4488903582	 674.7884521484	82.9798507690
4215	 0	 1403715580.512142896652221680	 0.6226735115	 -0.5279561877	 608.2525634766	44.6711883545
4206	 0	 1403715579.312143087387084961	 0.0298007634	 -0.4575487971	 380.1128234863	50.9780044556
4206	 0	 1403715579.662142992019653320	 0.1060098261	 -0.4779964983	 412.7333984375	43.7709350586
4206	 0	 1403715579.962142944335937500	 0.2298358679	 -0.4102123678	 466.3918457031	71.9104614258
4206	 0	 1403715580.512142896652221680	 0.2083661705	 -0.4299559295	 456.9552001953	63.7716712952
4205	 0	 1403715579.312143087387084961	 0.0104131093	 -0.3762497306	 371.8067932129	83.0079116821
4205	 0	 1403715579.662142992019653320	 0.0918856636	 -0.3881038725	 407.5328063965	78.6055831909
4205	 0	 1403715579.962142944335937500	 0.2175217122	 -0.3168576658	 462.9563293457	109.3390808105
4205	 0	 1403715580.512142896652221680	 0.2310277522	 -0.3387823999	 468.3371887207	100.5439071655
